,32,16,8,4,2,1
Kansas,1,1,1,,,
North Carolina,1,1,1,1,1,
Virginia,1,1,1,,,
Michigan State,,,,,,
Oklahoma,1,1,1,1,,
Villanova,1,1,1,1,1,1
Kentucky,1,,,,,
West Virginia,,,,,,
Purdue,,,,,,
Oregon,1,1,1,,,
Texas A&M,1,1,,,,
Wichita State,1,,,,,
Xavier,1,,,,,
Arizona,,,,,,
Duke,1,1,,,,
Maryland,1,1,,,,
Indiana,1,1,,,,
Miami (FL),1,1,,,,
Iowa State,1,1,,,,
Baylor,,,,,,
Texas,,,,,,
Utah,1,,,,,
Iowa,1,,,,,
California,,,,,,
Gonzaga,1,1,,,,
Wisconsin,1,1,,,,
Notre Dame,1,1,1,,,
Connecticut,1,,,,,
Butler,1,,,,,
Cincinnati,,,,,,
Seton Hall,,,,,,
Virginia Commonwealth,1,,,,,
Dayton,,,,,,
Syracuse,1,1,1,1,,
Pittsburgh,,,,,,
Providence,1,,,,,
Saint Joseph's,1,,,,,
Northern Iowa,1,,,,,
Colorado,,,,,,
Stephen F. Austin,1,,,,,
Yale,1,,,,,
Texas Tech,,,,,,
Michigan,,,,,,
Southern California,,,,,,
Arkansas-Little Rock,1,,,,,
South Dakota State,,,,,,
Temple,,,,,,
North Carolina-Wilmington,,,,,,
Oregon State,,,,,,
Iona,,,,,,
Green Bay,,,,,,
Stony Brook,,,,,,
Chattanooga,,,,,,
Hawaii,1,,,,,
Fresno State,,,,,,
Buffalo,,,,,,
Cal State Bakersfield,,,,,,
Middle Tennessee,1,,,,,
North Carolina-Asheville,,,,,,
Weber State,,,,,,
Florida Gulf Coast,,,,,,
Austin Peay,,,,,,
Hampton,,,,,,
Holy Cross,,,,,,
